"Site Name ","Site Status ","Device Reachability ","Device CPU/Memory ","Peak Utilization In (%)","Peak Utilization Out (%)","Congestion Drops ","Interface Errors "
"Hayward CA - Omnicare - HAY","Critical","Good","Good","18.521627","7.623923","Good","0"
"Weston FL - Omnicare - WST","Critical","Good","Good","7.2293296","2.8650947","Good","0"
"Boston MA - CarePlus - BON","Warning","Good","Good","48.109455","59.62804","Good","0"
"Abingdon VA - Omnicare - ABG","Good","Good","Good","36.271076","4.4130282","Good","0"
"Albuquerque NM - Omnicare - ABR","Good","Good","Good","4.4204473","5.0421042","Good","0"
"Alexandria LA - Omnicare - ALX","Good","Good","Good","23.542265","6.8805857","Good","0"
"Alpharetta GA - Active Health - ALA","Good","Good","Good","3.0268936","2.0459237","Good","0"
"Alpharetta GA - RBO-SA-VOIP - APH","Good","Good","Good","0","0","Good","0"
"Amarillo TX - Omnicare - AML","Good","Good","Good","8.0700035","6.2585382","Good","0"
"Amherst NY - Meritain - AHT","Good","Good","Good","2.122371","2.9139016","Good","0"
"Anchorage AK - Meritain - ANC","Good","Good","Good","3.4187648","4.5191946","Good","0"
"Annapolis Junction MD - Omnicare - ANJ","Good","Good","Good","1.3528705","0.09201808","Good","0"
"Arlington TX - Aetna - ART","Good","Good","Good","","","Good","0"
"Ashburn VA - Equinix - EXV","Good","Good","Good","","","Good","0"
"Atlanta GA - Aetna - ATL","Good","Good","Good","1.8615295","10.986152","Good","0"
"Atlanta GA - QTS - ATT","Good","Good","Good","","","Good","0"
"Atlanta GA - Specialty - AAN","Good","Good","Good","17.218613","9.317791","Good","0"
"Atlanta GA - West Corp @ Telx - ALN","Good","Good","Good","16.673174","16.45386","Good","0"
"Augusta GA - DistCenter - AGT","Good","Good","Good","0.12403791","0.17007779","Good","0"
"Aurora CO - CarePlus - ARA","Good","Good","Good","","","Good","0"
"Austin TX - Coventry - AST","Good","Good","Good","0.6580936","0.8071648","Good","0"
"Austin TX - Omnicare - AUS","Good","Good","Good","4.4651833","6.666623","Good","0"
"BLOOMINGTON MN - CORPORATE - BLM","Good","Good","Good","5.686446","1.7781647","Good","0"
"Ballston Spa NY - Omnicare - BLS","Good","Good","Good","4.4873857","1.973476","Good","0"
"Bartlett (Memphis) TN - Specialty - MES","Good","Good","Good","3.1893258","4.0151424","Good","0"
"Baton Rouge LA - Aetna - BNG","Good","Good","Good","2.3849294","3.777238","Good","0"
"Beach Island (North Augusta) SC - DistCenter - NAA","Good","Good","Good","3.9296224","6.0805526","Good","0"
"Bentonville AR - Wal-Mart - BTN","Good","Good","Good","-0.01","-0.01","Good","0"
"Bhubaneswar Orissa - Infosys - BBW","Good","Good","Good","","","Good","0"
"Billings MT - Omnicare - BLG","Good","Good","Good","11.513982","7.6286664","Good","0"
"Birmingham AL - Specialty - BRH","Good","Good","Good","0.36008868","0.15071902","Good","0"
"Bluebell PA - Aetna - BLB","Good","Good","Good","4.068098","8.495998","Good","0"
"Boise ID - WFH - BOE","Good","Good","Good","0.014195563","0.026857536","Good","0"
"Bonham Quay Galway - Signify - GAL","Good","Good","Good","0.059347115","0.16503352","Good","0"
"Boston MA - CarePlus - BSO","Good","Good","Good","3.1962533","3.7714791","Good","0"
"Brooklyn Center MN - Omnicare - BKC","Good","Good","Good","4.3680573","4.2582655","Good","0"
"Buffalo Grove IL - Corporate - BFF","Good","Good","Good","3.9804616","2.2864916","Good","1428"
"COLLIERVILLE TN - SPECIALTY - CVL","Good","Good","Good","27.452698","1.7781374","Good","0"
"Canoga Park CA - Omnicare - CNP","Good","Good","Good","3.761094","4.4370365","Good","0"
"Carolina PR - Specialty - CRA","Good","Good","Good","","","Good","0"
"Cary NC - Coventry - MRV","Good","Good","Good","4.9411454","12.449212","Good","0"
"Cerritos CA - Omnicare - CTO","Good","Good","Good","17.103823","9.785738","Good","0"
"Chandler AZ - CustomerCare - CHD","Good","Good","Good","1.0442255","1.1880558","Good","0"
"Chandler AZ - Omnicare - CHR","Good","Good","Good","2.2303445","23.979805","Good","0"
"Charleston SC - Omnicare - CRS","Good","Good","Good","","","Good","0"
"Charleston WV - Coventry - CHS","Good","Good","Good","19.48071","18.138617","Good","0"
"Charlotte NC - CarePlus - CLT","Good","Good","Good","0.22112611","0.085153244","Good","0"
"Cheshire CT - Omnicare - CSR","Good","Good","Good","4.700119","3.167513","Good","0"
"Chippewa Falls WI - Omnicare - CWF","Good","Good","Good","30.431982","7.409204","Good","0"
"Cincinnati OH - Omnicare - CNI","Good","Good","Good","14.028295","1.6530834","Good","0"
"Cleveland TN - Omnicare - CLV","Good","Good","Good","51.018524","8.261262","Good","0"
"Colombo Sri Lanka - Virtusa - CLB","Good","Good","Good","","","Good","0"
"Columbia MD - Coram - CLA","Good","Good","Good","","","Good","0"
"Columbia SC - Coram - CMI","Good","Good","Good","","","Good","0"
"Columbia SC - Specialty - CLI","Good","Good","Good","1.1827396","0.7426529","Good","0"
"Columbus OH - Omnicare - CBS","Good","Good","Good","17.64868","6.4867725","Good","0"
"Conroe TX - DistCenter - CNR","Good","Good","Good","9.012975","6.846514","Good","1"
"Conyers GA - Omnicare - CNY","Good","Good","Good","9.154449","0.21973121","Good","0"
"Coventry RI - Omnicare - COV","Good","Good","Good","15.036728","11.115021","Good","0"
"Cumberland RI - Coram - CMD","Good","Good","Good","","","Good","0"
"Cumberland RI - Corporate - CBL","Good","Good","Good","","","Good","0"
"Cumberland RI - Corporate - CLD","Good","Good","Good","","","Good","0"
"Cumberland RI - DataCenter - CLD","Good","Good","Good","24.341867","0.007451145","Good","0"
"Decatur IL - Omnicare - DEC","Good","Good","Good","9.471666","3.0370061","Good","0"
"Denver CO - West Corp DGE - DVR","Good","Good","Good","14.894351","14.893387","Good","0"
"Des Plaines IL - Omnicare - DPS","Good","Good","Good","5.903175","4.25968","Good","0"
"Detroit Troy MI - Specialty - DET","Good","Good","Good","0.4966219","1.0697685","Good","0"
"Downers Grove IL - Coventry - DWN","Good","Good","Good","5.0751843","14.165147","Good","0"
"Dublin - Aetna - DLN","Good","Good","Good","","","Good","0"
"East Windsor NJ - Conduent - EWN","Good","Good","Good","46.500767","37.005455","Good","0"
"Edina MN - Vendor - EDA","Good","Good","Good","0.0022615013","0.0055281627","Good","0"
"Edison NJ - Omnicare - EDN","Good","Good","Good","2.68195","2.9172282","Good","0"
"El Paso TX - HGS - EPO","Good","Good","Good","11.531703","11.627945","Good","0"
"Ennis TX - DistCenter - ENN","Good","Good","Good","1.2686846","0.7183103","Good","0"
"Escanaba MI - Omnicare - ESC","Good","Good","Good","2.9512396","5.184829","Good","0"
"Fairfield NJ - Specialty - FRF","Good","Good","Good","2.5137641","2.6367593","Good","0"
"Falls Church VA - Innovation Health - FLL","Good","Good","Good","0.63837385","1.6826699","Good","0"
"Florham Park NJ - Corporate - FHP","Good","Good","Good","0.3080722","0.4044681","Good","0"
"Florissant MO - Omnicare - FLT","Good","Good","Good","4.4958916","2.5529218","Good","0"
"Flower Mound TX - Specialty - FMD","Good","Good","Good","1.5714178","0.53475153","Good","0"
"Fort Wayne IN - Omnicare - FRW","Good","Good","Good","11.399254","13.045517","Good","0"
"Fort Worth TX - CarePlus - FWO","Good","Good","Good","0.3453493","0.25993773","Good","0"
"Fort Worth TX - Omnicare - FTW","Good","Good","Good","10.3486395","3.1003344","Good","0"
"Franklin TN - Aetna - FKN","Good","Good","Good","7.777053","2.8530822","Good","0"
"Fredericksburg VA - DistCenter - FRG","Good","Good","Good","9.173575","8.496971","Good","0"
"GREENSBORO NC - CORPORATE - GNR","Good","Good","Good","0.14788094","0.14679204","Good","0"
"Glasgow KY - DistCenter - GLO","Good","Good","Good","4.260927","0.76114845","Good","0"
"Glastonbury CT - Kelser - GLS","Good","Good","Good","1.2060707","1.2604481","Good","0"
"Golden CO - Omnicare - GLD","Good","Good","Good","5.7747507","2.5186474","Good","0"
"Grand Junction CO - Omnicare - GDJ","Good","Good","Good","8.064602","5.7628717","Good","0"
"Greenville WI - Omnicare - GRE","Good","Good","Good","6.9405584","4.5038185","Good","0"
"Harrisburg PA - Penn DOT - HBG","Good","Good","Good","","","Good","0"
"Harrisonburg VA - Omnicare - HRN","Good","Good","Good","11.568489","3.382247","Good","0"
"Hartford CT - Aetna - BVC","Good","Good","Good","6.6904755","7.7736363","Good","0"
"Hartford CT - Aetna - HDL","Good","Good","Good","","","Good","0"
"Hartford CT - Corporate - HAT","Good","Good","Good","0.066009134","0.042623848","Good","0"
"Henderson KY - Omnicare - HND","Good","Good","Good","10.548518","18.529995","Good","0"
"Herrin IL - Omnicare - HRR","Good","Good","Good","0.12764747","0.36842102","Good","0"
"Hickory NC - Omnicare - HIK","Good","Good","Good","25.812786","13.919452","Good","0"
"High Point NC - Aetna - GRN","Good","Good","Good","2.973854","3.3590987","Good","0"
"Honolulu HI - MailOrder - HOL","Good","Good","Good","5.2834144","2.4083955","Good","0"
"Honolulu HI - Specialty - HLO","Good","Good","Good","1.0333649","1.3723131","Good","0"
"Houston TX - DistCenter - HTN","Good","Good","Good","3.022172","1.3061069","Good","0"
